# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:56:25.026579Z,261.520,68,112,warmup,5.5
2025-12-31T13:56:26.426579Z,262.920,91,113,warmup,5.5
2025-12-31T13:56:27.906579Z,264.400,89,110,warmup,5.5
2025-12-31T13:56:29.026579Z,265.520,70,112,warmup,5.5
2025-12-31T13:56:30.266579Z,266.760,83,109,warmup,5.5
2025-12-31T13:56:31.586579Z,268.080,73,110,warmup,5.5
2025-12-31T13:56:32.866579Z,269.360,81,112,warmup,5.5
2025-12-31T13:56:34.066579Z,270.560,73,113,warmup,5.5
2025-12-31T13:56:35.346579Z,271.840,79,111,warmup,5.5
2025-12-31T13:56:36.786579Z,273.280,132,109,warmup,5.5
2025-12-31T13:56:38.906579Z,275.400,63,114,warmup,5.5
2025-12-31T13:56:40.546579Z,277.040,51,110,warmup,5.5
2025-12-31T13:56:41.986579Z,278.480,60,114,warmup,5.5
2025-12-31T13:56:43.346579Z,279.840,67,112,warmup,5.5
2025-12-31T13:56:44.786579Z,281.280,56,116,warmup,5.5
2025-12-31T13:56:46.066579Z,282.560,81,115,warmup,5.5
2025-12-31T13:56:47.666579Z,284.160,69,114,warmup,5.5
2025-12-31T13:56:49.386579Z,285.880,62,113,warmup,5.5
2025-12-31T13:56:50.866579Z,287.360,61,114,warmup,5.5
2025-12-31T13:56:52.186579Z,288.680,72,113,warmup,5.5
2025-12-31T13:56:53.346579Z,289.840,100,114,warmup,5.5
2025-12-31T13:56:54.706579Z,291.200,102,114,warmup,5.5
2025-12-31T13:56:56.426579Z,292.920,61,113,warmup,5.5
2025-12-31T13:56:57.706579Z,294.200,49,113,warmup,5.5
2025-12-31T13:56:58.906579Z,295.400,89,115,warmup,5.5
2025-12-31T13:57:00.466579Z,296.960,63,115,warmup,5.5
2025-12-31T13:57:01.906579Z,298.400,67,113,warmup,5.5
2025-12-31T13:57:03.266579Z,299.760,73,115,warmup,5.5
2025-12-31T13:57:04.306579Z,300.800,100,112,warmup,5.5
2025-12-31T13:57:05.746579Z,302.240,71,114,warmup,5.5
2025-12-31T13:57:07.106579Z,303.600,84,114,warmup,5.5
2025-12-31T13:57:08.786579Z,305.280,59,114,warmup,5.5
2025-12-31T13:57:10.386579Z,306.880,57,113,warmup,5.5
2025-12-31T13:57:11.946579Z,308.440,54,114,warmup,5.5
2025-12-31T13:57:13.786579Z,310.280,61,115,warmup,5.5
2025-12-31T13:57:15.506579Z,312.000,88,114,warmup,5.5
2025-12-31T13:57:17.786579Z,314.280,74,115,warmup,5.5
2025-12-31T13:57:19.466579Z,315.960,87,113,warmup,5.5
2025-12-31T13:57:21.066579Z,317.560,60,113,warmup,5.5
2025-12-31T13:57:22.746579Z,319.240,55,114,warmup,5.5
2025-12-31T13:57:24.266579Z,320.760,59,115,warmup,5.5
2025-12-31T13:57:25.746579Z,322.240,63,116,warmup,5.5
2025-12-31T13:57:27.226579Z,323.720,90,117,warmup,5.5
2025-12-31T13:57:29.106579Z,325.600,49,115,warmup,5.5
2025-12-31T13:57:30.466579Z,326.960,57,114,warmup,5.5
2025-12-31T13:57:31.786579Z,328.280,83,115,warmup,5.5
2025-12-31T13:57:33.226579Z,329.720,74,117,warmup,5.5
2025-12-31T13:57:34.706579Z,331.200,65,114,warmup,5.5
2025-12-31T13:57:36.266579Z,332.760,118,115,warmup,5.5
2025-12-31T13:57:39.306579Z,335.800,88,115,warmup,5.5
2025-12-31T13:57:41.426579Z,337.920,62,113,warmup,5.5
2025-12-31T13:57:42.666579Z,339.160,73,113,warmup,5.5
2025-12-31T13:57:43.826579Z,340.320,88,114,warmup,5.5
